"序
號",區域別,縣市別,醫院全名,"緊急醫療能
力分級",公告日,效期
33,台北區,新北市,"衛生福利部雙和醫院(委託臺北醫學
大學興建經營)",重度,102/12/03,109/12/31
34,台北區,新北市,"醫療財團法人徐元智先生醫藥基金
會亞東紀念醫院",重度,102/02/08,109/12/31
35,台北區,新北市,"佛教慈濟醫療財團法人台北慈濟醫
院",重度,101/12/28,109/12/31
36,台北區,新北市,天主教耕莘醫療財團法人耕莘醫院,重度,108/01/01,111/12/31
37,台北區,新北市,"國泰醫療財團法人汐止國泰綜合醫
院",中度,107/1/1,110/12/31
38,台北區,新北市,"天主教耕莘醫療財團法人永和耕莘
醫院",中度,108/01/01,111/12/31
39,台北區,新北市,衛生福利部臺北醫院,中度,104/12/08,111/12/31
40,台北區,新北市,行天宮醫療志業醫療財團法人恩主公醫院,"中度*級具備急性腦中風重度級能
力",108/01/01,111/12/31
41,台北區,新北市,新北市立聯合醫院（三重院區）,中度*,102/12/03,109/12/31
42,台北區,新北市,新北市立聯合醫院（板橋院區）,一般,,
43,台北區,新北市,板橋中興醫院,一般,,
44,台北區,新北市,新泰綜合醫院,一般,,
45,台北區,新北市,仁愛醫院,一般,,
46,台北區,新北市,"國立臺灣大學醫學院附設醫院金山
分院",一般,,
47,台北區,新北市,瑞芳礦工醫院,一般,,
48,台北區,新北市,衛生福利部樂生療養院,一般,,
49,台北區,新北市,"天主教耕莘醫療財團法人耕莘醫院
安康院區",一般,,
50,台北區,新北市,"輔仁大學學校財團法人輔仁大學附
設醫院",一般,,
51,台北區,金門縣,衛生福利部金門醫院,中度,101/12/28,109/12/31
52,台北區,連江縣,連江縣立醫院,"一般級具備急診中度級
能力",108/01/01,108/12/31
53,北區,桃園市,"長庚醫療財團法人林口長庚紀念醫
院",重度,101/12/28,109/12/31
54,北區,桃園市,衛生福利部桃園醫院,重度,106/7/17,109/12/31
55,北區,桃園市,壢新醫院,"中度*級具備急性腦中風重度級能
力",104/01/20,111/12/31
56,北區,桃園市,"沙爾德聖保祿修女會醫療財團法人
聖保祿醫院",中度*,101/12/28,109/12/31
57,北區,桃園市,臺北榮民總醫院桃園分院,中度*,101/12/28,109/12/31
58,北區,桃園市,敏盛綜合醫院,中度*,101/12/28,109/12/31
59,北區,桃園市,天成醫療社團法人天晟醫院,中度*,107/1/1,110/12/31
60,北區,桃園市,"國軍桃園總醫院附設民眾診療服務
處",中度*,101/12/28,109/12/31
61,北區,桃園市,天成醫院,一般,,
62,北區,桃園市,怡仁綜合醫院,一般,,
63,北區,桃園市,衛生福利部桃園醫院新屋分院,一般,,
64,北區,新竹市,"國立臺灣大學醫學院附設醫院新竹
分院",重度,104/12/08,110/12/31
65,北區,新竹市,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,"中度級具備急性腦中 風、高危險妊娠孕產婦及新生兒
(含早產兒)
重度級能力",104/01/20,111/12/31
66,北區,新竹市,"國泰醫療財團法人新竹國泰綜合醫
院",中度*,102/12/03,110/12/31
67,北區,新竹市,"國軍新竹地區醫院附設民眾診療服
務處",一般,,
68,北區,新竹市,南門綜合醫院,一般,,
69,北區,新竹縣,東元綜合醫院,重度,104/01/20,109/12/31
70,北區,新竹縣,天主教仁慈醫療財團法人仁慈醫院,"一般級具備
急診及急性腦中風、急性冠心症中度級能力",104/01/20,108/12/31
72,北區,新竹縣,國立臺灣大學醫學院附設醫院竹東分院,"一般級具備急診、急性冠心症及加護病房
中度級能力",107/1/1,110/12/31
73,北區,新竹縣,臺北榮民總醫院新竹分院,"一般級具備急診、緊急外傷及加護病房中
度級能力",107/1/1,110/12/31
74,北區,新竹縣,中國醫藥大學新竹附設醫院,一般,,
75,北區,苗栗縣,"李綜合醫療社團法人苑裡李綜合醫
院",中度,107/1/1,110/12/31
76,北區,苗栗縣,大千綜合醫院,"中度級具備急診、急性腦中風、急性冠心症、高危險妊娠孕產婦及新生兒（含早產兒）及加護病房重度
級能力",108/01/01,111/12/31
77,北區,苗栗縣,為恭醫療財團法人為恭紀念醫院,中度,108/01/01,110/12/31
78,北區,苗栗縣,衛生福利部苗栗醫院,"中度級具備急診、急性冠心症、高危險妊娠孕產婦及新生兒（含早產兒）及加護
病房重度級能力",108/01/01,108/12/31
80,北區,苗栗縣,大順醫院,一般,,
81,北區,苗栗縣,通霄光田醫院,一般,,
82,中區,台中市,澄清綜合醫院中港分院,重度,106/1/1,111/12/31
83,中區,台中市,"光田醫療社團法人光田綜合醫院大
甲院區",重度,108/01/01,111/12/31
84,中區,台中市,中山醫學大學附設醫院,重度,102/12/03,110/12/31
85,中區,台中市,童綜合醫療社團法人童綜合醫院,重度,102/02/08,110/12/31
86,中區,台中市,"光田醫療社團法人光田綜合醫院沙
鹿總院",重度,108/01/01,111/12/31
87,中區,台中市,臺中榮民總醫院,重度,107/1/1,110/12/31
88,中區,台中市,"中國醫藥大學附設醫院
中國醫藥大學兒童醫院",重度,107/1/1,110/12/31
89,中區,台中市,"佛教慈濟醫療財團法人台中慈濟醫
院",中度,102/12/03,110/12/31
90,中區,台中市,亞洲大學附屬醫院,中度,107/1/1,109/12/31
91,中區,台中市,國軍臺中總醫院附設民眾診療服務處,"中度*級具備急性冠心症重度級能
力",104/01/20,109/12/31
92,中區,台中市,林新醫療社團法人林新醫院,中度*,104/01/20,108/12/31
93,中區,台中市,"李綜合醫療社團法人大甲李綜合醫
院",中度*,104/01/20,108/12/31
94,中區,台中市,澄清綜合醫院,中度*,104/01/20,111/12/31
95,中區,台中市,衛生福利部臺中醫院,中度*,103/01/08,109/12/31
96,中區,台中市,仁愛醫療財團法人大里仁愛醫院,中度*,103/01/08,108/12/31
97,中區,台中市,衛生福利部豐原醫院,中度*,102/12/03,109/12/31
98,中區,台中市,東勢區農會附設農民醫院,一般,,
99,中區,台中市,長安醫院,一般,,
100,中區,台中市,清泉醫院,一般,,
101,中區,台中市,林新醫療社團法人烏日林新醫院,一般,,
102,中區,彰化縣,秀傳醫療社團法人秀傳紀念醫院,重度,102/04/12,110/12/31
103,中區,彰化縣,"彰化基督教醫療財團法人彰化基督教醫院
彰化基督教醫療財團法人彰化基督
教兒童醫院",重度,107/1/1,110/12/31
104,中區,彰化縣,"彰化基督教醫療財團法人員林基督
教醫院",中度,106/1/1,112/12/31
105,中區,彰化縣,秀傳醫療財團法人彰濱秀傳紀念醫院,"中度級具備急性腦中風及高危險妊娠孕產婦及新生兒
（含早產兒）重度
級能力",108/01/01,108/12/31
106,中區,彰化縣,"彰化基督教醫療財團法人鹿港基督
教醫院",中度*,104/01/20,110/12/31
107,中區,彰化縣,"彰化基督教醫療財團法人二林基督
教醫院",中度*,101/12/28,108/12/31
108,中區,彰化縣,衛生福利部彰化醫院,中度*,107/1/1,110/12/31
109,中區,彰化縣,卓醫院,一般,,
110,中區,彰化縣,仁和醫院,一般,,
111,中區,彰化縣,道安醫院,一般,,
112,中區,彰化縣,員榮醫療社團法人員榮醫院,一般,,
113,中區,彰化縣,道周醫療社團法人道周醫院,一般,,
114,中區,彰化縣,員生醫院,一般,,
115,中區,南投縣,埔基醫療財團法人埔里基督教醫院,中度,107/1/1,108/12/31
116,中區,南投縣,竹山秀傳醫院,中度*,104/01/20,110/12/31
117,中區,南投縣,衛生福利部南投醫院,中度,107/1/1,110/12/31
118,中區,南投縣,佑民醫療社團法人佑民醫院,"中度*級具備急性腦中風重度級能
力",107/1/1,108/12/31
119,中區,南投縣,南基醫院,一般,,
120,中區,南投縣,臺中榮民總醫院埔里分院,"一般級具備急診、急性腦中風及加護病房
中度級能力",107/1/1,110/12/31
121,南區,雲林縣,"國立臺灣大學醫學院附設醫院雲林
分院",重度,102/12/03,110/12/31
122,南區,雲林縣,天主教若瑟醫療財團法人若瑟醫院,"中度級具備高危險妊娠孕產婦及新生兒(含早產兒)重度
級能力",104/01/20,108/12/31
123,南區,雲林縣,中國醫藥大學北港附設醫院,"中度*級具備急性腦中風重度級能
力",104/01/20,108/12/31
124,南區,雲林縣,"彰化基督教醫療財團法人雲林基督
教醫院",中度*,108/01/01,111/12/31
125,南區,雲林縣,國立成功大學醫學院附設醫院斗六分院,"一般級具備急診及加護病房中度級
能力",107/1/1,110/12/31
126,南區,雲林縣,長庚醫療財團法人雲林長庚紀念醫院,"一般級具備急診及加護病房中度級
能力",107/1/1,110/12/31
127,南區,雲林縣,"國立臺灣大學醫學院附設醫院雲林
分院虎尾院區",一般,,
128,南區,嘉義市,"戴德森醫療財團法人嘉義基督教醫
院",重度,104/01/20,110/12/31
129,南區,嘉義市,天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院,"中度級具備急性腦中風
重度級能力",104/01/20,111/12/31
130,南區,嘉義市,衛生福利部嘉義醫院,中度*,102/12/03,107/12/31
131,南區,嘉義市,臺中榮民總醫院嘉義分院,中度*,108/01/01,111/12/31
132,南區,嘉義市,陽明醫院,"一般級具備急診、急性
冠心症及加護病房中度
級能力",108/01/01,109/12/31
134,南區,嘉義縣,"佛教慈濟醫療財團法人大林慈濟醫
院",重度,104/01/20,110/12/31
135,南區,嘉義縣,"長庚醫療財團法人嘉義長庚紀念醫
院",重度,104/12/08,111/12/31
136,南區,嘉義縣,衛生福利部朴子醫院,一般,,
137,南區,嘉義縣,臺中榮民總醫院灣橋分院,一般,,
138,南區,台南市,奇美醫療財團法人奇美醫院,重度,107/1/1,110/12/31
139,南區,台南市,國立成功大學醫學院附設醫院,重度,107/1/1,110/12/31
140,南區,台南市,郭綜合醫院,"中度級具備高危險妊娠孕產婦及新生兒(含早產兒)重度
級能力",104/01/20,108/12/31
141,南區,台南市,"台灣基督長老教會新樓醫療財團法
人台南新樓醫院",中度*,104/01/20,110/12/31
142,南區,台南市,"臺南市立安南醫院-委託中國醫藥大
學興建經營",中度*,104/01/20,108/12/31
143,南區,台南市,"台南市立醫院(委託秀傳醫療社團法
人經營)",中度*,104/12/08,111/12/31
144,南區,台南市,衛生福利部臺南醫院,中度*,102/12/03,108/12/31
145,南區,台南市,奇美醫療財團法人柳營奇美醫院,中度*,101/12/28,109/12/31
146,南區,台南市,"台灣基督長老教會新樓醫療財團法
人麻豆新樓醫院",中度,107/1/1,110/12/31
147,南區,台南市,奇美醫療財團法人佳里奇美醫院,中度*,107/1/1,109/12/31
148,南區,台南市,衛生福利部新營醫院,一般,,
149,南區,台南市,衛生福利部臺南醫院新化分院,"一般級具備急診中度級
能力",107/1/1,110/12/31
150,南區,台南市,高雄榮民總醫院臺南分院,一般,,
151,高屏區,高雄市,"財團法人私立高雄醫學大學附設中
和紀念醫院",重度,102/12/03,110/12/31
152,高屏區,高雄市,義大醫療財團法人義大醫院,重度,102/12/03,110/12/31
153,高屏區,高雄市,高雄榮民總醫院,重度,107/1/1,110/12/31
154,高屏區,高雄市,"長庚醫療財團法人高雄長庚紀念醫
院",重度,107/1/1,110/12/31
155,高屏區,高雄市,國軍高雄總醫院附設民眾診療服務處,"中度*級具備急性冠心症重度級能
力",104/01/20,110/12/31
156,高屏區,高雄市,"國軍高雄總醫院左營分院附設民眾
診療服務處",中度*,102/12/03,108/12/31
157,高屏區,高雄市,"高雄市立大同醫院(委託財團法人私立高雄醫學大學附設中和紀念醫院
經營)",中度*,108/01/01,111/12/31
158,高屏區,高雄市,高雄市立小港醫院(委託財團法人私立高雄醫學大學經營),"中度級具備急性腦中風
重度級能力",108/01/01,111/12/31
159,高屏區,高雄市,衛生福利部旗山醫院,中度,108/01/01,111/12/31
160,高屏區,高雄市,阮綜合醫療社團法人阮綜合醫院,中度*,108/01/01,111/12/31
161,高屏區,高雄市,高雄市立聯合醫院,中度*,107/1/1,110/12/31
162,高屏區,高雄市,大東醫院,一般,,
163,高屏區,高雄市,杏和醫院,一般,,
164,高屏區,高雄市,邱外科醫院,一般,,
165,高屏區,高雄市,建佑醫院,一般,,
166,高屏區,高雄市,天主教聖功醫療財團法人聖功醫院,一般,,
167,高屏區,高雄市,"高雄市立岡山醫院（委託秀傳醫療社
團法人經營）",一般,,
168,高屏區,高雄市,"高雄市立鳳山醫院（委託長庚醫療財
團法人經營）",一般,,
169,高屏區,高雄市,健仁醫院,一般,,
170,高屏區,高雄市,"國軍高雄總醫院岡山分院附設民眾
診療服務處",一般,,
171,高屏區,高雄市,瑞生醫院,一般,,
172,高屏區,高雄市,高雄市立民生醫院,一般,,
173,高屏區,高雄市,義大醫療財團法人義大癌治療醫院,一般,,
174,高屏區,高雄市,"高雄市立旗津醫院(委託財團法人私
立高雄醫學大學經營)",一般,,
175,高屏區,屏東縣,安泰醫療社團法人安泰醫院,重度,107/1/1,110/12/31
176,高屏區,屏東縣,寶建醫療社團法人寶建醫院,中度*,104/01/20,109/12/31
177,高屏區,屏東縣,國仁醫院,中度*,103/01/08,110/12/31
178,高屏區,屏東縣,枋寮醫療社團法人枋寮醫院,中度*,101/12/28,109/12/31
179,高屏區,屏東縣,屏基醫療財團法人屏東基督教醫院,中度*,101/12/28,108/12/31
180,高屏區,屏東縣,輔英科技大學附設醫院,中度,108/01/01,111/12/31
181,高屏區,屏東縣,衛生福利部屏東醫院,中度*,101/12/28,108/12/31
182,高屏區,屏東縣,安泰醫療社團法人潮州安泰醫院,"一般級具備急診、加護病房中度級
能力",106/1/1,109/12/31
183,高屏區,屏東縣,南門醫療社團法人南門醫院,"一般級具備急診及重大外傷中度級
能力",104/01/20,108/12/31
184,高屏區,屏東縣,衛生福利部恆春旅遊醫院,"一般級具備急診及急性腦中風、重大外傷中度
級能力",104/12/08,109/12/31
185,高屏區,屏東縣,大新醫院,一般,,
186,高屏區,屏東縣,恆基醫療財團法人恆春基督教醫院,一般,,
187,高屏區,屏東縣,高雄榮民總醫院屏東分院,一般,,
188,高屏區,屏東縣,"國軍高雄總醫院附設屏東民眾診療
服務處",一般,,
189,高屏區,澎湖縣,"三軍總醫院澎湖分院附設民眾診療
服務處",中度,102/12/03,109/12/31
190,高屏區,澎湖縣,衛生福利部澎湖醫院,中度*,101/12/28,108/12/31
191,東區,花蓮縣,"佛教慈濟醫療財團法人花蓮慈濟醫
院",重度,107/1/1,110/12/31
192,東區,花蓮縣,"國軍花蓮總醫院附設民眾診療服務
處",中度,107/1/1,109/12/31
193,東區,花蓮縣,"臺灣基督教門諾會醫療財團法人門
諾醫院",中度*,101/12/28,109/12/31
194,東區,花蓮縣,臺北榮民總醫院玉里分院,"一般級具備急診、急性腦中風、高危險妊
娠孕產婦及新生兒(含早產兒)及加護病房中
度級能力",107/1/1,110/12/31
195,東區,花蓮縣,臺北榮民總醫院鳳林分院,一般,,
196,東區,花蓮縣,衛生福利部花蓮醫院,一般,,
197,東區,花蓮縣,"衛生福利部花蓮醫院豐濱原住民分
院",一般,,
198,東區,花蓮縣,"佛教慈濟醫療財團法人玉里慈濟醫
院",一般,,
199,東區,台東縣,台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,"中度級具備急性腦中風
重度級能力",104/01/20,108/12/31
200,東區,台東縣,東基醫療財團法人台東基督教醫院,一般,,
201,東區,台東縣,"佛教慈濟醫療財團法人關山慈濟醫
院",一般,,
202,東區,台東縣,衛生福利部臺東醫院,"一般級具備加護病房中
度級能力",107/1/1,110/12/31
203,東區,台東縣,臺北榮民總醫院臺東分院,一般,,
